Scenario,Algorithm,Grid,Uncovered%,Win,Initial Uncovered%,DifferenceUncovered%
"(16, 16, 40)",Abel 8x8 10k 1k,10,84.375,1,3.515625,80.859375
"(16, 16, 40)",Kane + MCTS,10,84.375,1,3.515625,80.859375
"(16, 16, 40)",Abel 16x16 2000 10k,11,10.15625,0,7.03125,3.125
"(16, 16, 40)",Abel 16x16 750 100k,11,8.984375,0,7.03125,1.953125
"(16, 16, 40)",Abel 4x4 100k 100,11,18.75,0,7.03125,11.71875
"(16, 16, 40)",Abel 8x8 10k 1k,11,17.96875,0,7.03125,10.9375
"(16, 16, 40)",Kane + MCTS,11,8.203125,0,7.03125,1.171875
"(16, 16, 40)",Abel 16x16 2000 10k,12,12.5,0,1.5625,10.9375
"(16, 16, 40)",Abel 16x16 750 100k,12,5.078125,0,1.5625,3.515625
"(16, 16, 40)",Abel 4x4 100k 100,12,12.890625,0,1.5625,11.328125
"(16, 16, 40)",Abel 8x8 10k 1k,12,3.90625,0,1.5625,2.34375
"(16, 16, 40)",Kane + MCTS,12,2.34375,0,1.5625,0.78125
"(16, 16, 40)",Abel 16x16 2000 10k,13,2.734375,0,2.34375,0.390625
"(16, 16, 40)",Abel 16x16 750 100k,13,4.6875,0,2.34375,2.34375
"(16, 16, 40)",Abel 4x4 100k 100,13,84.375,1,2.34375,82.03125
"(16, 16, 40)",Abel 8x8 10k 1k,13,84.375,1,2.34375,82.03125
"(16, 16, 40)",Kane + MCTS,13,84.375,1,2.34375,82.03125
"(16, 16, 40)",Abel 16x16 2000 10k,14,5.46875,0,3.125,2.34375
"(16, 16, 40)",Abel 16x16 750 100k,14,3.515625,0,3.125,0.390625
"(16, 16, 40)",Abel 4x4 100k 100,14,24.21875,0,3.125,21.09375
"(16, 16, 40)",Abel 8x8 10k 1k,14,23.828125,0,3.125,20.703125
"(16, 16, 40)",Kane + MCTS,14,5.46875,0,3.125,2.34375
"(16, 16, 40)",Abel 16x16 2000 10k,15,16.40625,0,14.453125,1.953125
"(16, 16, 40)",Abel 16x16 750 100k,15,15.234375,0,14.453125,0.78125
